contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,lastTradeDate,impliedVolatility,inTheMoney
AAPL231215C00065000,65,USD,126.25,0,0,30,51,130.5,131.25,1701460164,3.39063,1
AAPL231215C00070000,70,USD,122.38,0,0,2,121,125.4,126,1701895891,3.42383,1
AAPL231215C00075000,75,USD,117.41,0,0,2,248,120.5,121.3,1701895891,3.02735,1
AAPL231215C00080000,80,USD,108.89,0,0,1,205,115.5,116.25,1701712107,2.78516,1
AAPL231215C00085000,85,USD,104.7,0,0,2,559,110.55,111.3,1701377400,2.70313,1
AAPL231215C00090000,90,USD,103.41,0,0,1,800,105.55,106.3,1701795963,2.53125,1
AAPL231215C00095000,95,USD,94.65,0,0,12,558,100.55,101.05,1701722988,2.1211,1
AAPL231215C00100000,100,USD,96.05,1.78001,1.8882,14,1042,95.55,96.05,1702065167,1.98047,1
AAPL231215C00105000,105,USD,86.4,0,0,1,221,90.55,91.25,1700579278,2.03516,1
AAPL231215C00110000,110,USD,84.57,0,0,420,131,85.55,86.35,1701974284,1.95898,1
AAPL231215C00115000,115,USD,76.33,0,0,5,1008,80.55,81.25,1701273438,1.76367,1
AAPL231215C00120000,120,USD,75.35,2.58,3.54542,2,164,75.6,76.1,1701893694,1.57031,1
AAPL231215C00125000,125,USD,69.26,0,0,5,428,70.6,71.2,1701982020,1.51367,1
AAPL231215C00130000,130,USD,65.7,1.32999,2.06617,5,1294,65.5,66.1,1702063348,1.26172,1
AAPL231215C00135000,135,USD,60.33,0.970001,1.6341,32,2277,60.6,61.4,1702057289,1.36817,1
AAPL231215C00140000,140,USD,55.95,0.850002,1.54265,28,5355,55.6,56.4,1702068465,1.25098,1
AAPL231215C00145000,145,USD,49.94,0.0399971,0.0801545,2,2708,50.6,51.4,1702049842,1.1377,1
AAPL231215C00150000,150,USD,45.88,1.63,3.68362,24,8497,45.6,46.4,1702067664,1.02637,1
AAPL231215C00155000,155,USD,40.91,1.39,3.51721,6073,14446,40.55,41.1,1702067857,0.791018,1
AAPL231215C00157500,157.5,USD,35.79,0,0,1,6,38.15,38.9,1701889819,0.877931,1
AAPL231215C00160000,160,USD,36,1.77,5.1709,109,28118,35.65,36.4,1702069177,0.824221,1
AAPL231215C00162500,162.5,USD,32.58,5.68,21.1153,1,29,33.15,33.95,1702048564,0.782229,1
AAPL231215C00165000,165,USD,31.25,1.71,5.78876,70,12869,30.65,31.35,1702069020,0.707034,1
AAPL231215C00167500,167.5,USD,27.4,0.58,2.16256,1,37,28.15,28.8,1702049420,0.644535,1
AAPL231215C00170000,170,USD,26,1.65,6.77618,3073,30508,25.65,26,1702069177,0.5127,1
AAPL231215C00172500,172.5,USD,23.59,1.47,6.64557,54,66,23.2,23.75,1702069084,0.542485,1
AAPL231215C00175000,175,USD,20.94,1.45,7.43972,248,26815,20.7,21.2,1702069162,0.562993,1
AAPL231215C00177500,177.5,USD,18.5,1.55,9.14454,68,376,18.2,18.7,1702067965,0.507329,1
AAPL231215C00180000,180,USD,16.25,1.7,11.6838,1314,40115,15.7,16.25,1702068910,0.462408,1
AAPL231215C00182500,182.5,USD,13.65,1.53,12.6238,349,1154,13.25,13.8,1702068758,0.415045,1
AAPL231215C00185000,185,USD,11.05,1.38,14.2709,1634,34050,10.95,11.3,1702069103,0.355475,1
AAPL231215C00187500,187.5,USD,8.7,1.45,20,1066,13575,8.5,8.8,1702068697,0.294441,1
AAPL231215C00190000,190,USD,6.3,1.2,23.5294,4170,75194,6.15,6.35,1702069189,0.237801,1
AAPL231215C00192500,192.5,USD,4.15,0.9,27.6923,7851,15123,4,4.1,1702069178,0.197518,1
AAPL231215C00195000,195,USD,2.29,0.54,30.8571,36806,41496,2.25,2.28,1702069195,0.1764,1
