contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,lastTradeDate,impliedVolatility,inTheMoney
AAPL231215P00065000,65,USD,0.01,0,0,1,2893,0,0.01,1701969434,2.4375,0
AAPL231215P00070000,70,USD,0.01,0,0,103,3949,0,0.01,1699041011,2.25,0
AAPL231215P00075000,75,USD,0.01,0,0,65,1202,0,0.01,1701374704,2.125,0
AAPL231215P00080000,80,USD,0.01,0,0,11,6740,0,0.01,1701700240,1.96875,0
AAPL231215P00085000,85,USD,0.01,0,0,10,15019,0,0.01,1701700240,1.875,0
AAPL231215P00090000,90,USD,0.01,0,0,53,4154,0,0.02,1701450242,1.8125,0
AAPL231215P00095000,95,USD,0.01,0,0,1,4773,0,0.02,1701700206,1.71875,0
AAPL231215P00100000,100,USD,0.01,0,0,2,17125,0,0.01,1701887667,1.5,0
AAPL231215P00105000,105,USD,0.01,0,0,1,5860,0,0.01,1701969824,1.40625,0
AAPL231215P00110000,110,USD,0.01,0,0,5,10755,0,0.01,1702060305,1.3125,0
AAPL231215P00115000,115,USD,0.01,0,0,2,7440,0,0.01,1701806671,1.1875,0
AAPL231215P00120000,120,USD,0.01,0,0,2,8412,0,0.01,1701969844,1.125,0
AAPL231215P00125000,125,USD,0.01,0,0,1,24459,0,0.01,1701881569,1.03125,0
AAPL231215P00130000,130,USD,0.01,0,0,1,9397,0,0.01,1701974524,0.937501,0
AAPL231215P00135000,135,USD,0.01,0,0,2,132851,0,0.01,1702066980,0.875001,0
AAPL231215P00140000,140,USD,0.01,0,0,3580,15990,0,0.01,1702068580,0.781252,0
AAPL231215P00145000,145,USD,0.01,0,0,1917,18225,0,0.02,1702068995,0.750003,0
AAPL231215P00150000,150,USD,0.01,-0.01,-50,1287,35628,0,0.02,1702065873,0.671878,0
AAPL231215P00152500,152.5,USD,0.01,0,0,1220,446,0,0.02,1702065859,0.632816,0
AAPL231215P00155000,155,USD,0.02,0,0,6132,34172,0.01,0.02,1702069196,0.617191,0
