contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,lastTradeDate,impliedVolatility,inTheMoney
RTX231222C00055000,55,USD,24.85,0,0,1,2,26.8,27.1,1700498218,1.06641,1
RTX231222C00060000,60,USD,19.7,0,0,0,1,22.05,22.15,1700498866,0.85547,1
RTX231222C00065000,65,USD,14.65,0,0,0,1,17.05,17.25,1700501375,0.738284,1
RTX231222C00067000,67,USD,16.13,0,0,0,1,15.05,15.15,1701888937,0.585942,1
RTX231222C00070000,70,USD,11.6,0,0,6,8,12.05,12.15,1702064506,0.535161,1
RTX231222C00074000,74,USD,8.69,0,0,1,2,8.05,8.2,1701458293,0.410162,1
RTX231222C00075000,75,USD,7.6,0,0,1,11,7.05,7.2,1701462417,0.367194,1
RTX231222C00076000,76,USD,7.28,0,0,5,28,6.1,6.25,1701718599,0.349616,1
RTX231222C00077000,77,USD,5.05,0,0,3,19,5.05,5.25,1702046323,0.304694,1
RTX231222C00078000,78,USD,4.7,0,0,1,31,4.1,4.25,1701457824,0.25782,1
RTX231222C00079000,79,USD,3.55,0,0,1,24,3.2,3.35,1702314502,0.242195,1
RTX231222C00080000,80,USD,2.47,0.71,40.3409,7,117,2.32,2.39,1702486374,0.198738,1
RTX231222C00081000,81,USD,1.6,0.55,52.381,37,156,1.56,1.61,1702489680,0.185067,1
RTX231222C00082000,82,USD,0.95,0.38,66.6667,1123,1259,0.96,1.02,1702489836,0.183602,1
RTX231222C00083000,83,USD,0.6,0.31,106.897,86,719,0.51,0.57,1702487648,0.178231,0
RTX231222C00084000,84,USD,0.31,0.13,72.2222,4,324,0.25,0.29,1702486163,0.176278,0
RTX231222C00085000,85,USD,0.14,0.07,100,14,1233,0.12,0.15,1702488094,0.182137,0
RTX231222C00086000,86,USD,0.09,0.03,50,102,149,0.06,0.08,1702486346,0.190438,0
RTX231222C00087000,87,USD,0.26,0,0,1,93,0.01,0.13,1702391441,0.252937,0
RTX231222C00088000,88,USD,0.06,0,0,3,542,0,0.06,1702058771,0.246101,0
RTX231222C00089000,89,USD,0.03,0,0,1,24,0,0.25,1702328042,0.380866,0
RTX231222C00090000,90,USD,0.03,0,0,50,211,0,0.75,1701098053,0.583989,0
RTX231222C00091000,91,USD,0.08,0,0,2,27,0,0.75,1700685806,0.505376,0
RTX231222C00092000,92,USD,0.2,0,0,3,4,0,0,1699281008,0.125009,0
RTX231222C00093000,93,USD,0.05,0,0,2,6,0,0.75,1700235255,0.579106,0
RTX231222C00095000,95,USD,0.02,0,0,0,100,0,0.09,1701788278,0.480474,0
RTX231222C00100000,100,USD,0.01,0,0,1,431,0,0.13,1701702773,0.582035,0
