contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,lastTradeDate,impliedVolatility,inTheMoney
TSLA231222C00030000,30,USD,212.23,0,0,3,8,213.2,214.4,1701889343,5.1836,1
TSLA231222C00050000,50,USD,186.9,0,0,1,1,193.25,194.45,1700847756,2.53125,1
TSLA231222C00070000,70,USD,166.11,0,0,5,11,173.3,174.5,1700513860,2.35157,1
TSLA231222C00090000,90,USD,151.01,0,0,1,1,153.35,154.55,1701975105,2.02344,1
TSLA231222C00100000,100,USD,141.5,2.89999,2.09235,1,57,143.3,144.6,1702056757,1.82031,1
TSLA231222C00105000,105,USD,139.09,0.48999,0.353528,1,1,138.3,139.6,1702062620,1.72656,1
TSLA231222C00110000,110,USD,135.5,0,0,1,1,133.35,134.6,1701197862,1.67578,1
TSLA231222C00115000,115,USD,128.59,0,0,1,3,128.35,129.65,1701195805,1.62305,1
TSLA231222C00120000,120,USD,119.2,0,0,1,3,123.35,124.65,1701182221,1.53906,1
TSLA231222C00125000,125,USD,113.76,0,0,2,10,118.4,119.65,1701961034,1.48438,1
TSLA231222C00130000,130,USD,106.42,0,0,33,33,113.45,114.7,1700839955,1.44922,1
TSLA231222C00135000,135,USD,108.72,0,0,3,4,108.4,109.7,1701194196,1.34961,1
TSLA231222C00140000,140,USD,100.81,0,0,6,49,103.45,104.7,1701788517,1.29493,1
TSLA231222C00145000,145,USD,99.29,0,0,1,3,98.5,99.75,1701885741,1.25391,1
TSLA231222C00150000,150,USD,94.57,6.83,7.78437,1,15,93.5,94.75,1702053001,1.18164,1
TSLA231222C00155000,155,USD,88.14,3.22,3.79181,3,5,88.55,89.75,1702046557,1.12403,1
TSLA231222C00160000,160,USD,81.92,0,0,20,29,83.5,84.8,1701981424,1.05469,1
TSLA231222C00165000,165,USD,79.03,7.07,9.8249,1,14,78.45,79.8,1702052571,0.973633,1
TSLA231222C00170000,170,USD,71.95,0,0,3,44,73.6,74.85,1701981406,0.953125,1
TSLA231222C00175000,175,USD,69.35,3.61999,5.50737,2,30,68.55,69.85,1701894804,0.876954,1
TSLA231222C00180000,180,USD,64.18,6.18,10.6552,6,50,63.65,64.9,1702050603,0.838869,1
TSLA231222C00185000,185,USD,57.8,0.889999,1.56387,9,39,58.55,59.9,1702055044,0.757815,1
TSLA231222C00190000,190,USD,54.25,5.75,11.8557,4,47,53.55,54.9,1702052546,0.695316,1
TSLA231222C00195000,195,USD,49.45,0.75,1.54004,12,40,48.75,50,1702068866,0.673831,1
TSLA231222C00200000,200,USD,44.91,1.56,3.59862,12,454,43.8,45.05,1702052323,0.621586,1
TSLA231222C00205000,205,USD,37.35,-1.21,-3.13797,1,147,38.85,40.1,1701965638,0.567875,1
TSLA231222C00207500,207.5,USD,37.29,2.38,6.81753,4,4,36.5,37.7,1702047995,0.55811,1
TSLA231222C00210000,210,USD,34.3,0.599998,1.78041,41,749,34.25,35.25,1702068320,0.548588,1
TSLA231222C00212500,212.5,USD,29.89,-3.45,-10.3479,2,4,31.65,32.85,1701878473,0.514897,1
TSLA231222C00215000,215,USD,30.76,1.51,5.16239,61,1195,29.3,30.8,1702064852,0.519536,1
TSLA231222C00217500,217.5,USD,27.33,1.49,5.76625,6,32,27,28.25,1702068580,0.557133,1
TSLA231222C00220000,220,USD,25.32,2.14,9.23209,123,1421,25.1,25.6,1702068993,0.504399,1
TSLA231222C00222500,222.5,USD,23.83,2.88,13.747,56,20,22.85,23.45,1702064637,0.496953,1
TSLA231222C00225000,225,USD,20.91,0.41,2,146,1867,20.45,21.3,1702068520,0.484868,1
TSLA231222C00227500,227.5,USD,18.96,1.96,11.5294,106,44,18.6,19,1702068983,0.458013,1
TSLA231222C00230000,230,USD,16.85,0.0500011,0.297626,750,2962,16.5,17,1702069158,0.449224,1
TSLA231222C00232500,232.5,USD,15.05,1.03,7.34665,181,246,14.55,15.15,1702069023,0.444708,1
TSLA231222C00235000,235,USD,13.1,-0.0999994,-0.757571,735,3081,12.85,13.45,1702068135,0.443365,1
TSLA231222C00237500,237.5,USD,11.51,-0.04,-0.34632,1217,879,11.4,11.7,1702069172,0.432989,1
TSLA231222C00240000,240,USD,10.04,-0.16,-1.56863,3270,4900,9.95,10.1,1702069114,0.425177,1
TSLA231222C00242500,242.5,USD,8.7,-0.25,-2.7933,4928,988,8.55,8.75,1702069172,0.424444,1
TSLA231222C00245000,245,USD,7.35,-0.35,-4.54545,5255,3530,7.35,7.4,1702069198,0.417242,0
TSLA231222C00247500,247.5,USD,6.28,-0.33,-4.99243,3246,1104,6.2,6.35,1702069182,0.419378,0
TSLA231222C00250000,250,USD,5.3,-0.35,-6.19469,10652,19653,5.25,5.3,1702069194,0.415045,0
TSLA231222C00252500,252.5,USD,4.4,-0.48,-9.83606,1403,1243,4.35,4.5,1702069174,0.418097,0
TSLA231222C00255000,255,USD,3.67,-0.38,-9.38272,2339,2822,3.6,3.7,1702069197,0.415045,0
TSLA231222C00257500,257.5,USD,3.06,-0.39,-11.3044,591,342,3.05,3.1,1702069175,0.417853,0
TSLA231222C00260000,260,USD,2.54,-0.41,-13.8983,3909,9286,2.53,2.55,1702069193,0.418097,0
TSLA231222C00262500,262.5,USD,2.11,-0.38,-15.261,655,596,2.04,2.12,1702069195,0.42127,0
TSLA231222C00265000,265,USD,1.75,-0.35,-16.6667,1554,2521,1.7,1.75,1702069190,0.423956,0
TSLA231222C00267500,267.5,USD,1.43,-0.3,-17.341,608,683,1.4,1.45,1702069194,0.427618,0
TSLA231222C00270000,270,USD,1.19,-0.29,-19.5946,2738,3021,1.13,1.18,1702069182,0.429205,0
TSLA231222C00275000,275,USD,0.82,-0.24,-22.6415,2440,2869,0.8,0.83,1702069190,0.440435,0
TSLA231222C00280000,280,USD,0.6,-0.16,-21.0526,2696,2765,0.55,0.58,1702069161,0.450689,0
TSLA231222C00285000,285,USD,0.41,-0.15,-26.7857,471,1196,0.4,0.42,1702068927,0.463873,0
TSLA231222C00290000,290,USD,0.32,-0.11,-25.5814,398,1623,0.3,0.31,1702068931,0.477544,0
TSLA231222C00295000,295,USD,0.24,-0.09,-27.2727,131,1661,0.22,0.24,1702068924,0.494146,0
TSLA231222C00300000,300,USD,0.18,-0.08,-30.7692,1651,3468,0.17,0.18,1702069178,0.504888,0
TSLA231222C00305000,305,USD,0.15,-0.05,-25,575,1310,0.14,0.15,1702068779,0.524419,0
TSLA231222C00310000,310,USD,0.11,-0.06,-35.2941,119,550,0.1,0.12,1702068689,0.536137,0
TSLA231222C00315000,315,USD,0.1,-0.03,-23.0769,109,574,0.09,0.1,1702069006,0.556645,0
TSLA231222C00320000,320,USD,0.07,-0.04,-36.3636,164,441,0.06,0.08,1702065686,0.564457,0
TSLA231222C00325000,325,USD,0.06,-0.03,-33.3333,126,414,0.05,0.07,1702058273,0.582035,0
TSLA231222C00330000,330,USD,0.05,-0.03,-37.5,60,845,0.05,0.06,1702064607,0.601566,0
TSLA231222C00335000,335,USD,0.05,-0.01,-16.6667,113,361,0.03,0.05,1702060725,0.609379,0
TSLA231222C00340000,340,USD,0.04,-0.01,-20,604,42,0.02,0.04,1702052471,0.613285,0
TSLA231222C00345000,345,USD,0.04,0,0,5,95,0.02,0.04,1702050175,0.640629,0
TSLA231222C00350000,350,USD,0.02,-0.02,-50,5,716,0.01,0.04,1702048011,0.648441,0
TSLA231222C00355000,355,USD,0.02,-0.01,-33.3333,2,575,0.01,0.04,1702055983,0.671878,0
TSLA231222C00360000,360,USD,0.02,0,0,3,63,0,0.03,1702065715,0.664066,0
TSLA231222C00365000,365,USD,0.01,-0.01,-50,3,87,0,0.03,1702053756,0.687503,0
TSLA231222C00370000,370,USD,0.06,0,0,1,81,0,0.03,1701700201,0.703128,0
TSLA231222C00375000,375,USD,0.02,-0.01,-33.3333,1,374,0.01,0.03,1701795579,0.74219,0
TSLA231222C00380000,380,USD,0.02,0.01,100,25,34,0,0.02,1702046449,0.718753,0
TSLA231222C00385000,385,USD,0.02,0.01,100,3,34,0,0.02,1702049869,0.74219,0
TSLA231222C00390000,390,USD,0.01,0,0,0,6,0,0.02,1701719331,0.765627,0
TSLA231222C00395000,395,USD,0.01,-0.02,-66.6667,10,1,0,0.02,1702053730,0.781252,0
TSLA231222C00400000,400,USD,0.02,0,0,1,82,0,0.02,1701702599,0.796877,0
TSLA231222C00405000,405,USD,0.01,0,0,86,65,0,0.01,1702059313,0.781252,0
TSLA231222C00410000,410,USD,0.03,0,0,0,10,0,0.02,1701359048,0.828127,0
TSLA231222C00415000,415,USD,0.02,0,0,1,34,0,0.02,1701461825,0.843752,0
TSLA231222C00420000,420,USD,0.01,0,0,42,425,0,0.01,1702065876,0.812502,0
TSLA231222C00425000,425,USD,0.02,0,0,0,2,0,0.02,1701201754,0.890626,0
TSLA231222C00430000,430,USD,0.01,0,0,1,5,0,0.02,1701959987,0.906251,0
TSLA231222C00435000,435,USD,0.01,0,0,100,209,0,0.02,1701797591,0.921876,0
TSLA231222C00440000,440,USD,0.01,0,0,2,57,0,0.01,1701884823,0.875001,0
