contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,lastTradeDate,impliedVolatility,inTheMoney
TSLA231222P00020000,20,USD,0.01,0,0,1,5,0,0.01,1701703939,3.75,0
TSLA231222P00050000,50,USD,0.01,0,0,0,5,0,0.02,1700670853,2.53125,0
TSLA231222P00060000,60,USD,0.01,0,0,1,6,0,0.01,1701700236,2.125,0
TSLA231222P00070000,70,USD,0.01,0,0,5,25,0,0.01,1701185365,1.875,0
TSLA231222P00080000,80,USD,0.01,0,0,1,128,0,0.01,1701959404,1.6875,0
TSLA231222P00090000,90,USD,0.01,0,0,5,17,0,0.01,1702068990,1.53125,0
TSLA231222P00100000,100,USD,0.01,0,0,92,157,0,0.02,1702059971,1.4375,0
TSLA231222P00105000,105,USD,0.01,0,0,1,23,0.01,0.02,1701878314,1.42188,0
TSLA231222P00110000,110,USD,0.02,0,0,150,551,0.01,0.03,1701884918,1.375,0
TSLA231222P00115000,115,USD,0.02,0.01,100,98,2070,0.01,0.03,1702066776,1.30469,0
TSLA231222P00120000,120,USD,0.02,0,0,15,1619,0.02,0.03,1702065842,1.25782,0
TSLA231222P00125000,125,USD,0.02,0.01,100,20,58,0.02,0.03,1702062581,1.19532,0
TSLA231222P00130000,130,USD,0.02,0,0,431,88,0.02,0.03,1702056137,1.125,0
TSLA231222P00135000,135,USD,0.03,0,0,7,59,0.03,0.05,1701980618,1.11329,0
TSLA231222P00140000,140,USD,0.04,0.01,33.3333,4,110,0.03,0.05,1702062649,1.04688,0
TSLA231222P00145000,145,USD,0.03,-0.01,-25,4,752,0.04,0.06,1701979473,1.01172,0
TSLA231222P00150000,150,USD,0.05,0.02,66.6667,14,2008,0.04,0.05,1702065750,0.937501,0
TSLA231222P00155000,155,USD,0.05,0,0,420,88,0.05,0.07,1702065800,0.910157,0
TSLA231222P00160000,160,USD,0.05,0,0,14,1763,0.05,0.06,1702065311,0.843752,0
TSLA231222P00165000,165,USD,0.06,0,0,497,853,0.06,0.08,1702065458,0.808596,0
TSLA231222P00170000,170,USD,0.06,-0.01,-14.2857,13,831,0.07,0.08,1702065871,0.757815,0
TSLA231222P00175000,175,USD,0.07,-0.02,-22.2222,128,896,0.07,0.09,1702068599,0.708987,0
TSLA231222P00180000,180,USD,0.09,-0.03,-25,351,1801,0.09,0.1,1702068416,0.667972,0
TSLA231222P00185000,185,USD,0.1,-0.02,-16.6667,460,1622,0.09,0.11,1702068775,0.619144,0
TSLA231222P00190000,190,USD,0.11,-0.06,-35.2941,289,1883,0.12,0.13,1702069192,0.583012,0
TSLA231222P00195000,195,USD,0.15,-0.07,-31.8182,441,1953,0.15,0.18,1702069101,0.550786,0
TSLA231222P00200000,200,USD,0.19,-0.13,-40.625,917,4846,0.19,0.22,1702069182,0.513677,0
TSLA231222P00205000,205,USD,0.27,-0.18,-40,3028,2710,0.27,0.29,1702068297,0.48731,0
TSLA231222P00207500,207.5,USD,0.33,-0.22,-40,303,347,0.32,0.35,1702068900,0.474615,0
TSLA231222P00210000,210,USD,0.42,-0.25,-37.3134,1742,3978,0.4,0.43,1702069190,0.463873,0
TSLA231222P00212500,212.5,USD,0.53,-0.36,-40.4494,256,493,0.5,0.53,1702069163,0.453619,0
TSLA231222P00215000,215,USD,0.65,-0.37,-36.2745,587,3263,0.63,0.68,1702069197,0.447759,0
TSLA231222P00217500,217.5,USD,0.82,-0.47,-36.4341,1834,476,0.81,0.84,1702069147,0.438238,0
TSLA231222P00220000,220,USD,1.03,-0.52,-33.5484,2407,3595,1.02,1.05,1702069197,0.430426,0
TSLA231222P00222500,222.5,USD,1.33,-0.68,-33.8308,985,255,1.29,1.34,1702068505,0.426153,0
TSLA231222P00225000,225,USD,1.65,-0.73,-30.6723,862,1798,1.63,1.67,1702069147,0.419684,0
TSLA231222P00227500,227.5,USD,2.08,-0.8,-27.7778,349,469,2.04,2.1,1702069138,0.415655,0
TSLA231222P00230000,230,USD,2.57,-0.98,-27.6056,2377,3583,2.53,2.59,1702069190,0.409918,0
TSLA231222P00232500,232.5,USD,3.21,-1.01,-23.9336,906,428,3.15,3.25,1702069159,0.40943,0
TSLA231222P00235000,235,USD,3.9,-1.19,-23.3792,2949,2564,3.85,4,1702069150,0.407355,0
TSLA231222P00237500,237.5,USD,4.78,-1.27,-20.9917,1149,1153,4.7,4.85,1702069159,0.404486,0
TSLA231222P00240000,240,USD,5.72,-1.33,-18.8653,2949,9701,5.65,5.8,1702069192,0.400397,0
TSLA231222P00242500,242.5,USD,6.85,-1.5,-17.9641,3133,1113,6.8,6.9,1702069134,0.397589,0
TSLA231222P00245000,245,USD,8.15,-2,-19.7044,2132,1331,8.05,8.2,1702069182,0.398444,1
TSLA231222P00247500,247.5,USD,9.5,-1.95,-17.0306,276,586,9.4,9.6,1702069044,0.397711,1
TSLA231222P00250000,250,USD,11.02,-1.58,-12.5397,482,786,10.9,11.3,1702069034,0.406378,1
TSLA231222P00252500,252.5,USD,12.85,-2.4,-15.7377,181,178,12.4,12.9,1702065284,0.403448,1
TSLA231222P00255000,255,USD,14.44,-2.66,-15.5556,154,1493,14.2,14.6,1702068863,0.39942,1
TSLA231222P00257500,257.5,USD,16.5,-2.6,-13.6126,60,38,16.05,16.6,1702067560,0.407599,1
TSLA231222P00260000,260,USD,18.5,-2.49,-11.8628,97,216,18.1,18.5,1702067560,0.40357,1
TSLA231222P00262500,262.5,USD,20.3,-2.4,-10.5727,61,15,20.15,20.65,1702069084,0.411505,1
TSLA231222P00265000,265,USD,22.65,-2.63,-10.4035,332,1744,22.35,22.95,1702065779,0.427374,1
TSLA231222P00267500,267.5,USD,27.44,0,0,3,3,24.5,25,1701975271,0.417364,1
TSLA231222P00270000,270,USD,27.5,-1.85,-6.30324,24,1037,26.5,27.35,1702058283,0.430426,1
TSLA231222P00275000,275,USD,31.85,-1.2,-3.63086,3,15,31.1,32.25,1702067156,0.472417,1
TSLA231222P00280000,280,USD,38.55,0.619999,1.63459,39,814,35.95,37.1,1702056018,0.503667,1
TSLA231222P00285000,285,USD,43.1,0,0,2,605,40.8,42,1701969088,0.536626,1
TSLA231222P00290000,290,USD,48.1,1.1,2.34042,1,23,45.75,46.95,1702047160,0.573491,1
TSLA231222P00300000,300,USD,56.26,-3.51,-5.87251,4,8,55.65,56.95,1702066520,0.657718,1
TSLA231222P00305000,305,USD,61,-2,-3.1746,2,0,60.7,63.65,1702063887,0.735598,1
TSLA231222P00310000,310,USD,67.6,0,0,2,4,63.7,68.6,1701968244,0.95752,1
TSLA231222P00315000,315,USD,70.55,0,0,200,0,68.75,73.6,1701794406,1.00184,1
TSLA231222P00320000,320,USD,74.25,0,0,2,0,73.75,78.6,1701275521,1.04493,1
TSLA231222P00345000,345,USD,113.76,0,0,1,0,98.8,103.7,1700231412,0.718753,1
TSLA231222P00350000,350,USD,118.74,0,0,1,0,103.8,108.7,1700231412,0.744143,1
